word	sentiment	female	male
suicidal	-2	0	1
pardon	2	0	3
desirable	2	1	0
protest	-2	3	4
controversial	-2	0	1
ridiculous	-3	1	2
hate	-3	1	2
aggression	-2	0	1
increase	1	1	0
violate	-2	1	1
scold	-2	1	2
sorry	-1	1	0
vociferous	-1	1	2
lurk	-1	1	0
misunderstanding	-2	1	0
distort	-2	4	1
uncertain	-1	1	1
courageous	2	1	0
disturb	-2	1	1
exaggerate	-2	0	3
solution	1	1	1
quaking	-2	1	0
triumph	4	0	1
enjoy	2	1	1
tired	-2	1	0
fabulous	4	0	1
emptiness	-1	2	0
loathing	-3	2	2
wreck	-2	1	1
integrity	2	2	2
jocular	2	0	1
poison	-2	2	3
endorse	2	1	0
hero	2	1	4
avert	-1	0	1
festive	2	1	0
active	1	1	1
oxymoron	-1	0	1
launched	1	2	2
stressed	-2	0	1
lonesome	-2	0	1
criticism	-2	1	0
secure	2	2	2
achievable	1	1	0
motivate	1	0	1
insult	-2	1	2
calm	2	2	1
recommend	2	2	1
strike	-1	2	3
award	3	1	1
hurt	-2	5	1
grief	-2	1	3
sobering	1	0	1
excellent	3	1	1
shoot	-1	4	3
join	1	0	3
somber	-2	3	4
worth	2	0	2
lugubrious	-2	0	1
defer	-1	0	1
shattered	-2	0	2
want	1	1	4
indifferent	-2	0	1
attract	1	1	0
guarantee	1	0	5
anguish	-3	1	1
damage	-3	4	4
amazing	4	1	2
aching	-2	1	1
significance	1	2	1
badly	-3	1	2
mess	-2	2	2
loyalty	3	0	1
demanding	-1	1	0
wrong	-2	3	2
meaningful	2	1	2
complacent	-2	1	3
effective	2	1	1
appreciate	2	1	0
stimulate	1	0	2
daredevil	2	0	2
worst	-3	3	6
greed	-3	0	1
consent	2	0	2
rebellion	-2	1	0
fit	1	0	1
affected	-1	2	2
powerful	2	1	0
safe	1	0	1
interrupt	-2	0	1
lenient	1	0	2
gloom	-1	0	3
entitled	1	0	1
vitriolic	-3	0	2
luck	3	0	3
tricked	-2	3	4
god	1	1	0
sparkle	3	3	1
encourage	2	1	2
loathe	-3	0	3
barrier	-2	0	1
revenge	-2	2	1
free	1	1	5
mourning	-2	1	1
fervid	2	0	1
struggle	-2	2	4
brooding	-2	3	1
tolerant	2	0	1
disturbed	-2	0	1
hopeless	-2	0	2
lovable	3	1	1
rant	-3	2	2
downside	-2	0	1
clarity	2	1	0
tragic	-2	1	1
bitter	-2	2	2
troubled	-2	1	0
murder	-2	1	2
collapse	-2	3	4
wasted	-2	0	2
mercy	2	1	1
anxiety	-2	1	1
coward	-2	0	1
matter	1	0	1
guilt	-3	1	1
mirth	3	1	0
feeling	1	1	3
willingness	2	1	1
upset	-2	3	4
unconcerned	-2	1	0
strength	2	2	2
responsible	2	1	3
isolated	-1	0	1
absorbed	1	2	2
visionary	3	2	1
debonair	2	0	4
sulking	-2	1	1
exonerate	2	0	1
stupid	-2	1	2
alarm	-2	2	2
flop	-2	1	1
solemn	-1	1	4
unsophisticated	-2	1	0
bomb	-1	0	1
inspire	2	2	2
hunger	-2	2	1
rapture	2	0	1
dupe	-2	1	0
acquit	2	0	2
bliss	3	1	0
disgust	-3	3	2
adequate	1	0	2
jailed	-2	0	5
stop	-1	3	5
denounce	-2	1	0
unfair	-2	1	0
frowning	-1	2	1
affronted	-1	2	1
interrogated	-2	0	1
heavyhearted	-2	1	0
bad	-3	1	4
erroneous	-2	0	1
horrendous	-3	1	0
fail	-2	1	3
best	3	6	5
clarifies	2	1	1
meditative	1	1	0
scorn	-2	2	5
indecisive	-2	1	0
extend	1	0	2
weak	-2	2	1
ignorance	-2	0	1
